Código;Nome;Valor hora;Data;Entrada;Saída;Almoço
2;João da Silva;R$ 110,97;01/04/2022;08:00:00;18:00:00;12:00 - 13:00
2;João da Silva;R$ 110,97;04/04/2022;08:00:00;18:00:00;12:00 - 13:00
2;João da Silva;R$ 110,97;05/04/2022;08:00:00;18:00:00;12:00 - 13:00
2;João da Silva;R$ 110,97;06/04/2022;08:00:00;18:00:00;12:00 - 13:00
2;João da Silva;R$ 110,97;07/04/2022;08:00:00;18:00:00;12:00 - 13:00
2;João da Silva;R$ 110,97;08/04/2022;08:00:00;18:00:00;12:00 - 13:00
2;João da Silva;R$ 110,97;11/04/2022;08:00:00;18:00:00;12:00 - 13:00
2;João da Silva;R$ 110,97;12/04/2022;08:00:00;18:00:00;12:00 - 13:00
2;João da Silva;R$ 110,97;13/04/2022;08:00:00;18:00:00;12:00 - 13:00
2;João da Silva;R$ 110,97;14/04/2022;08:00:00;18:00:00;12:00 - 13:00
2;João da Silva;R$ 110,97;18/04/2022;08:00:00;18:00:00;12:00 - 13:00
2;João da Silva;R$ 110,97;19/04/2022;08:00:00;18:00:00;12:00 - 13:00
2;João da Silva;R$ 110,97;20/04/2022;08:00:00;18:00:00;12:00 - 13:00
2;João da Silva;R$ 110,97;22/04/2022;08:00:00;18:00:00;12:00 - 13:00
2;João da Silva;R$ 110,97;25/04/2022;08:00:00;18:00:00;12:00 - 13:00
2;João da Silva;R$ 110,97;26/04/2022;08:00:00;18:00:00;12:00 - 13:00
2;João da Silva;R$ 110,97;27/04/2022;08:00:00;18:00:00;12:00 - 13:00
2;João da Silva;R$ 110,97;28/04/2022;08:00:00;18:00:00;12:00 - 13:00
2;João da Silva;R$ 110,97;29/04/2022;08:00:00;18:00:00;12:00 - 13:00
3;Julia Menezes;R$ 100,00;01/04/2022;08:00:00;18:00:00;12:00 - 13:00
3;Julia Menezes;R$ 100,00;04/04/2022;08:00:00;18:00:00;12:00 - 13:00
3;Julia Menezes;R$ 100,00;05/04/2022;08:00:00;18:00:00;12:00 - 13:00
3;Julia Menezes;R$ 100,00;06/04/2022;08:00:00;18:00:00;12:00 - 13:00
3;Julia Menezes;R$ 100,00;07/04/2022;08:00:00;18:00:00;12:00 - 13:00
3;Julia Menezes;R$ 100,00;08/04/2022;08:00:00;18:00:00;12:00 - 13:00
3;Julia Menezes;R$ 100,00;11/04/2022;08:00:00;18:00:00;12:00 - 13:00
3;Julia Menezes;R$ 100,00;12/04/2022;08:00:00;18:00:00;12:00 - 13:00
3;Julia Menezes;R$ 100,00;13/04/2022;08:00:00;18:00:00;12:00 - 13:00
3;Julia Menezes;R$ 100,00;14/04/2022;08:00:00;18:00:00;12:00 - 13:00
3;Julia Menezes;R$ 100,00;18/04/2022;08:00:00;18:00:00;12:00 - 13:00
3;Julia Menezes;R$ 100,00;19/04/2022;08:00:00;18:00:00;12:00 - 13:00
3;Julia Menezes;R$ 100,00;20/04/2022;08:00:00;18:00:00;12:00 - 13:00
3;Julia Menezes;R$ 100,00;22/04/2022;08:00:00;18:00:00;12:00 - 13:00
3;Julia Menezes;R$ 100,00;25/04/2022;08:00:00;18:00:00;12:00 - 13:00
3;Julia Menezes;R$ 100,00;26/04/2022;08:00:00;18:00:00;12:00 - 13:00
3;Julia Menezes;R$ 100,00;27/04/2022;08:00:00;18:00:00;12:00 - 13:00
3;Julia Menezes;R$ 100,00;28/04/2022;08:00:00;18:00:00;12:00 - 13:00
3;Julia Menezes;R$ 100,00;29/04/2022;08:00:00;18:00:00;12:00 - 13:00
